Product Code,Description,Creditor Code,Creditor Name,Supplier Cost Date,Supplier Cost,"Additional
Cost Bs",Latest Cost Bs,Supplier Standard Cost,Minimum Order Quantity,Vendors Code,"Lead
Time","Time
Unit","Last
Receipt",Default
COR04-45,Silk Cord #4 - Burgundy,OPTICA,OPTICA,,,,,,,,,,,1
COR05-00,Basic Fabric Cord - Assorted,OPTICA,OPTICA,,,,,,,,,,,1
COR05-01,Basic Fabric Cord #7 - Black,GRAN1,Grand Rise Co Ltd,9/10/2017,$0.000,$0.000,$0.000,$0.000,,,,Weeks,,0
COR05-01,Basic Fabric Cord #7 - Black,OPTICA,OPTICA,,,,,,,,,,,1
COR05-01-PK12,12pcs Hangups Basic Fabric Cord - Black only,OPTICA,OPTICA,,,,,,,,,,,1
COR05-15,Basic Fabric Cord #4 - Green,OPTICA,OPTICA,,,,,,,,,,,1
COR05-20,Basic Fabric Cord # 8- Navy,OPTICA,OPTICA,,,,,,,,,,,1
COR05-25,Basic Fabric Cord #5 - Blue,OPTICA,OPTICA,,,,,,,,,,,1
COR05-30,Basic Fabric Cord #3 - Purple,OPTICA,OPTICA,,,,,,,,,,,1
COR05-35,Basic Fabric Cord #6 - Brown,OPTICA,OPTICA,,,,,,,,,,,1
COR05-44,Basic Fabric Cord #1- Red,OPTICA,OPTICA,,,,,,,,,,,1
COR05-45,Basic Fabric Cord #2 - Burgundy,OPTICA,OPTICA,,,,,,,,,,,1
COR05-DKPK12,Hangups Basic Fabric Cord - Dark Colours (12 Pack),OPTICA,OPTICA,,,,,,,,,,,1
COR05-NBPK12,12pcs Hangups Basic Fabric Cord - Assorted No Black,OPTICA,OPTICA,,,,,,,,,,,1
COR05-PK10,10pcs Basic Fabric Cord - Assorted Pack,OPTICA,OPTICA,,,,,,,,,,,1
COR05-PK12,Hangups Basic Fabric Cord - Assorted (12 Pack),OPTICA,OPTICA,,,,,,,,,,,1
COR05-SSBLK,Sunglass Spectacular COR05 12pcs - BLACK,OPTICA,OPTICA,,,,,,,,,,,1
COR05-SSNVY,Sunglass Spectacular COR05 12pcs - NAVY,OPTICA,OPTICA,,,,,,,,,,,1
COR05B-PK10,BUPA Basic Fabric Cords  (10pcs per Pack),OPTICA,OPTICA,,,,,,,,,,,1
COR06-00,Temple Grip Cord - Assorted,OPTICA,OPTICA,,,,,,,,,,,1
COR06-01,Temple Grip Cord #6 - Black,GRAN1,Grand Rise Co Ltd,26/11/2010,$0.185,$0.000,$0.185,$0.185,,GRAN-NY30H-01,8,Weeks,,0
COR06-01,Temple Grip Cord #6 - Black,OPTICA,OPTICA,,,,,,,,,,,1
COR06-035473,Stalker Temple Grip Cord Black (12pcs Pack),OPTICA,OPTICA,,,,,,,,,,,1
COR06-035480,Stalker Temple Grip Cord Brown (12pcs Pack),OPTICA,OPTICA,,,,,,,,,,,1
COR06-035497,Stalker Temple Grip Cord Navy (12pcs pack),OPTICA,OPTICA,,,,,,,,,,,1
COR06-035503,Stalker Temple Grip Cord Red (12pcs Pack),OPTICA,OPTICA,,,,,,,,,,,1
COR06-035510,Stalker Temple Grip Cord Green (12pcs Pack),OPTICA,OPTICA,,,,,,,,,,,1
COR06-15,Temple Grip Cord #4 - Green,GRAN1,Grand Rise Co Ltd,31/08/2016,$0.000,$0.000,$0.000,$0.185,,GRAN-NY30H-01,,Weeks,,0
COR06-15,Temple Grip Cord #4 - Green,OPTICA,OPTICA,,,,,,,,,,,1
COR06-20,Temple Grip Cord #8 - Navy,GRAN1,Grand Rise Co Ltd,31/08/2016,$0.000,$0.000,$0.000,$0.185,,GRAN-NY30H-01,,Weeks,,0
COR06-20,Temple Grip Cord #8 - Navy,OPTICA,OPTICA,,,,,,,,,,,1
COR06-25,Temple Grip Cord #5 - Blue,GRAN1,Grand Rise Co Ltd,26/11/2010,$0.185,$0.000,$0.185,$0.000,,GRAN-NY30H-25,8,Weeks,,0
COR06-25,Temple Grip Cord #5 - Blue,OPTICA,OPTICA,,,,,,,,,,,1
COR06-30,Temple Grip Cord #3 - Purple,GRAN1,Grand Rise Co Ltd,31/08/2016,$0.000,$0.000,$0.000,$0.185,,GRAN-NY30H-01,,Weeks,,0
COR06-30,Temple Grip Cord #3 - Purple,OPTICA,OPTICA,,,,,,,,,,,1
COR06-35,Temple Grip Cord #7 - Brown,GRAN1,Grand Rise Co Ltd,31/08/2016,$0.000,$0.000,$0.000,$0.185,,GRAN-NY30H-01,,Weeks,,0
COR06-35,Temple Grip Cord #7 - Brown,OPTICA,OPTICA,,,,,,,,,,,1
COR06-44,Temple Grip Cord #2 - Red,GRAN1,Grand Rise Co Ltd,26/11/2010,$0.185,$0.000,$0.185,$0.000,,GRAN-NY30H-44,8,Weeks,,0
COR06-44,Temple Grip Cord #2 - Red,OPTICA,OPTICA,,,,,,,,,,,1
COR06-45,Temple Grip Cord #1 - Burgundy,GRAN1,Grand Rise Co Ltd,31/08/2016,$0.000,$0.000,$0.000,$0.185,,GRAN-NY30H-01,,Weeks,,0
COR06-45,Temple Grip Cord #1 - Burgundy,OPTICA,OPTICA,,,,,,,,,,,1
COR06-DKPK12,Hangups Temple Grip Cords - Dark Colours (12 Pack),OPTICA,OPTICA,,,,,,,,,,,1
COR06-PK10,10pcs Temple Grip Cord - Assorted Pack,OPTICA,OPTICA,,,,,,,,,,,1
COR06-PK12,Hangups Temple Grip Cords - Assorted Colours (12 Pack),OPTICA,OPTICA,,,,,,,,,,,1
COR06-SSBLK,Sunglass Spectacular COR06 12pcs - BLACK,OPTICA,OPTICA,,,,,,,,,,,1
COR06-SSNVY,Sunglass Spectacular COR06 12pcs - NAVY,OPTICA,OPTICA,,,,,,,,,,,1
COR12-00,Leather Cord - Rounded - Assorted,OPTICA,OPTICA,,,,,,,,,,,1
COR12-01,Leather Cord - Rounded #4 - Black,GRAN1,Grand Rise Co Ltd,29/11/2011,$0.742,$0.049,$0.791,$0.560,,GRAN-LE21-01,8,Weeks,29/11/2011,0
COR12-01,Leather Cord - Rounded #4 - Black,OPTICA,OPTICA,,,,,,,,,,,1
COR12-35,Leather Cord - Rounded #2 - Brown,OPTICA,OPTICA,,,,,,,,,,,1
COR12-PK12,Hangups Leather Cords - Black / Brown (12 Pack),OPTICA,OPTICA,,,,,,,,,,,1
COR12-PK6,6pcs Leather Cord - Rounded - Assorted Pack,OPTICA,OPTICA,,,,,,,,,,,1
COR12-SSBLK,Sunglass Spectacular COR12 12pcs - BLACK,OPTICA,OPTICA,,,,,,,,,,,1
COR12-SSBRN,Sunglass Spectacular COR12 12pcs - BROWN,OPTICA,OPTICA,,,,,,,,,,,1
CORD,"Spectacle Cord, Origin: TAIWAN, 6217.10.90",OPTICA,OPTICA,,,,,,,,,,,1
CORD-D1,Cord Display Stand,ONELINEUSD,"Wenzhou Oneline Accessories Co., Ltd",6/08/2019,$19.000,$0.000,$29.065,$19.000,,DISPLAY-SHORT,5,Weeks,,0
CORD-D1,Cord Display Stand,OPTICA,OPTICA,,,,,,,,,,,1
CORK01-01,Youth Sports Toggle Cord - Black,OPTICA,OPTICA,4/04/2018,$0.000,$0.000,$0.000,$0.270,,CORK01-01,,Weeks,,1
CORK01-23,Youth Sports Toggle Cord - Blue,OPTICA,OPTICA,4/04/2018,$0.000,$0.000,$0.000,$0.000,,CORK01-23,,Weeks,,1
CORK01-32,Youth Sports Toggle Cord - Purple,OPTICA,OPTICA,4/04/2018,$0.000,$0.000,$0.000,$0.000,,CORK01-44,,Weeks,,1
CORK01-47,Youth Sports Toggle Cord - Hot Pink,OPTICA,OPTICA,4/04/2018,$0.000,$0.000,$0.000,$0.000,,CORK01-47,,Weeks,,1
CORK01-PK12,Hangups Youth Toggle Cord - Assorted (12 Pack),OPTICA,OPTICA,,,,,,,,,,,1
CRB0525B,Contemporary Readers 'Basic 5' Black +2.50,KEEN,Keen Look Co. Ltd,31/01/2018,$1.528,$0.064,$1.592,$1.100,,308020-BLACK,20,Weeks,31/01/2018,0
CRB0525B,Contemporary Readers 'Basic 5' Black +2.50,KEENUSD,Keen Look Co. Ltd,20/09/2018,$0.000,$0.000,$0.000,$1.100,,308020-BLACK,20,Weeks,,1
CRB0620B,Contemporary Readers 'Basic 6' Black +2.00,KEEN,Keen Look Co. Ltd,31/01/2018,$1.665,$0.064,$1.729,$1.200,,1210-BLACK,20,Weeks,31/01/2018,0
CRB0620B,Contemporary Readers 'Basic 6' Black +2.00,KEENUSD,Keen Look Co. Ltd,20/09/2018,$0.000,$0.000,$0.000,$1.200,,1210-BLACK,20,Weeks,,1
CRB0625T,Contemporary Readers 'Basic 6' Tortoisehell +2.50,KEEN,Keen Look Co. Ltd,31/01/2018,$1.665,$0.064,$1.729,$1.200,,1210-TORT,20,Weeks,31/01/2018,0
CRB0625T,Contemporary Readers 'Basic 6' Tortoisehell +2.50,KEENUSD,Keen Look Co. Ltd,20/09/2018,$0.000,$0.000,$0.000,$1.200,,1210-TORT,20,Weeks,,1
CRB0630B,Contemporary Readers 'Basic 6' Black +3.00,KEEN,Keen Look Co. Ltd,31/01/2018,$1.665,$0.064,$1.729,$1.200,,1210-BLACK,20,Weeks,31/01/2018,0
CRB0630B,Contemporary Readers 'Basic 6' Black +3.00,KEENUSD,Keen Look Co. Ltd,20/09/2018,$0.000,$0.000,$0.000,$1.200,,1210-BLACK,20,Weeks,,1
CRB0630T,Contemporary Readers 'Basic 6' Tortoisehell +3.00,KEEN,Keen Look Co. Ltd,31/01/2018,$1.665,$0.064,$1.729,$1.200,,1210-TORT,20,Weeks,31/01/2018,0
CRB0630T,Contemporary Readers 'Basic 6' Tortoisehell +3.00,KEENUSD,Keen Look Co. Ltd,20/09/2018,$0.000,$0.000,$0.000,$1.200,,1210-TORT,20,Weeks,,1
CRB0720BZ,Contemporary Readers 'Basic 7' Bronze +2.00,KEEN,Keen Look Co. Ltd,31/01/2018,$2.347,$0.064,$2.411,$1.700,,4031A-BRONZE,20,Weeks,31/01/2018,0
CRB0720BZ,Contemporary Readers 'Basic 7' Bronze +2.00,KEENUSD,Keen Look Co. Ltd,20/09/2018,$0.000,$0.000,$0.000,$1.700,,4031A-BRONZE,20,Weeks,,1
CRB0730BZ,Contemporary Readers 'Basic 7' Bronze +3.00,KEEN,Keen Look Co. Ltd,31/01/2018,$2.347,$0.064,$2.411,$1.700,,4031A-BRONZE,20,Weeks,31/01/2018,0
CRB0730BZ,Contemporary Readers 'Basic 7' Bronze +3.00,KEENUSD,Keen Look Co. Ltd,20/09/2018,$0.000,$0.000,$0.000,$1.700,,4031A-BRONZE,20,Weeks,,1
CRB0820B,Contemporary Readers 'Basic 8' Black +2.00,KEEN,Keen Look Co. Ltd,31/01/2018,$2.278,$0.064,$2.342,$1.650,,4031-BLACK,20,Weeks,31/01/2018,0
CRB0820B,Contemporary Readers 'Basic 8' Black +2.00,KEENUSD,Keen Look Co. Ltd,20/09/2018,$0.000,$0.000,$0.000,$1.650,,4031-BLACK,20,Weeks,,1
CRB0915G,Contemporary Readers 'Basic 9' Gun +1.50,KEEN,Keen Look Co. Ltd,31/01/2018,$2.278,$0.064,$2.342,$1.650,,2030-GUN,20,Weeks,31/01/2018,0
CRB0915G,Contemporary Readers 'Basic 9' Gun +1.50,KEENUSD,Keen Look Co. Ltd,20/09/2018,$0.000,$0.000,$0.000,$1.650,,2030-GUN,20,Weeks,,1
CRB0920G,Contemporary Readers 'Basic 9' Gun +2.00,KEEN,Keen Look Co. Ltd,31/01/2018,$2.278,$0.064,$2.342,$1.650,,2030-GUN,20,Weeks,31/01/2018,0
CRB0920G,Contemporary Readers 'Basic 9' Gun +2.00,KEENUSD,Keen Look Co. Ltd,20/09/2018,$0.000,$0.000,$0.000,$1.650,,2030-GUN,20,Weeks,,1
CRB0930G,Contemporary Readers 'Basic 9' Gun +3.00,KEEN,Keen Look Co. Ltd,31/01/2018,$2.415,$0.064,$2.479,$1.650,,2030-GUN,20,Weeks,31/01/2018,0
CRB0930G,Contemporary Readers 'Basic 9' Gun +3.00,KEENUSD,Keen Look Co. Ltd,20/09/2018,$0.000,$0.000,$0.000,$1.650,,2030-GUN,20,Weeks,,1
CRB1020B,Contemporary Readers 'Basic 10' Black +2.00,KEEN,Keen Look Co. Ltd,31/01/2018,$2.415,$0.064,$2.479,$1.750,,6294-BLACK,20,Weeks,31/01/2018,0
CRB1020B,Contemporary Readers 'Basic 10' Black +2.00,KEENUSD,Keen Look Co. Ltd,20/09/2018,$0.000,$0.000,$0.000,$1.750,,6294-BLACK,20,Weeks,,1
CRC30SCOPL5-WH,(Prosben Stock) Unbranded 30ml Solution Frosted - White,OPTICA,OPTICA,,,,,,,,,,,1
CRC30SCOPL5-WH,(Prosben Stock) Unbranded 30ml Solution Frosted - White,PROS1,Prosben Inc,24/09/2014,$0.467,$0.043,$0.510,$0.380,,CRP30SC/OPL5,,Weeks,24/09/2014,0
CRC30SCOPL5-WH,(Prosben Stock) Unbranded 30ml Solution Frosted - White,PROSBUSD,Prosben Inc,18/09/2018,$0.000,$0.000,$0.000,$0.380,,CRP30SC/OPL5,12,Weeks,,0
D&D-EVA-BU,Avatude Blue/Black - EVA Branded Case,D&DUSD,"Wenzhou D&D international Trade Co., Ltd",21/02/2019,$0.850,$0.000,$1.236,$0.850,,EVA CASE,,Weeks,,1
D&D-EVA-GR,Avatude Green/Black - EVA Branded Case,D&DUSD,"Wenzhou D&D international Trade Co., Ltd",21/02/2019,$0.850,$0.000,$1.236,$0.850,,EVA CASE,,Weeks,,1
D&D-EVA-PU,Avatude Purple/Black - EVA Branded Case,D&DUSD,"Wenzhou D&D international Trade Co., Ltd",21/02/2019,$0.850,$0.000,$1.236,$0.850,,EVA CASE,,Weeks,,1
D&D-EVA-RD,Avatude Red/Black - EVA Branded Case,D&DUSD,"Wenzhou D&D international Trade Co., Ltd",21/02/2019,$0.850,$0.000,$1.236,$0.850,,EVA CASE,,Weeks,,1
D&D-FELT-STD,Felt Stands Unbranded - Blue/White,D&DUSD,"Wenzhou D&D international Trade Co., Ltd",12/07/2019,$2.440,$0.060,$3.721,$2.200,,FELT STAND,,Weeks,12/07/2019,1
D&D-MC-BLACK,Avatude Branded Micro-cloth 150x180mm,D&DUSD,"Wenzhou D&D international Trade Co., Ltd",,,,,,,,,,,1
DELKO-037430,MIC03 Clear 'Optica' PVC Wallet / Pouch,CMAUSD,CMA Global,10/07/2019,$0.040,$0.070,$0.131,$0.040,,VINYLPOUCH,12,Weeks,10/07/2019,1
DELKO-037430,MIC03 Clear 'Optica' PVC Wallet / Pouch,COMP,Competitive Plastics,3/02/2012,$0.180,$0.000,$0.180,$0.000,,,,Weeks,3/02/2012,0
DELKO-300,NT5 300x280mm White Cloth  43pcs Blocks,CMAUSD,CMA Global,30/07/2018,$13.760,$10.449,$30.696,$13.760,,NT5BLOCKS - MKA10 MATT WHITE,12,Weeks,30/07/2018,1
DELKO-300,NT5 300x280mm White Cloth  43pcs Blocks,DELK1,CMA Global,18/06/2018,$19.824,$2.447,$22.271,$0.000,,NT5BLOCKS,,Weeks,18/06/2018,0
DELKO-300BG,NT5 300x280mm Forest Green 43pcs Blocks,CMAUSD,CMA Global,16/10/2018,$0.000,$0.000,$0.000,$13.760,,NT5BLOCKS,12,Weeks,,1
DELKO-300BG,NT5 300x280mm Forest Green 43pcs Blocks,DELK1,CMA Global,5/07/2017,$19.399,$0.516,$19.915,$13.760,,NT5BLOCKS,,Weeks,5/07/2017,0
DELKO-300BG1,NT5 300x280mm Forest Green single cloth,CMAUSD,CMA Global,6/04/2018,$0.000,$0.000,$0.000,$0.000,,,,Weeks,,0
DELKO-300BG1,NT5 300x280mm Forest Green single cloth,OPTICA,OPTICA,,,,,,,,,,,1
DELKO-300BRO,NT5 300x280mm Bright Orange 43pcs Blocks,CMAUSD,CMA Global,5/07/2017,$19.399,$0.516,$27.865,$13.760,,NT5300ORANGE,12,Weeks,5/07/2017,1
DELKO-300GD,NT5 300x280mm Gold 43pcs Blocks,CMAUSD,CMA Global,31/08/2011,$17.120,$0.055,$20.125,$13.760,,NT5 BLOCKS,12,Weeks,22/07/2011,1
DELKO-300GR,NT5 300x280mm Bright Green 43pcs Blocks,CMAUSD,CMA Global,23/10/2018,$13.760,$9.280,$30.278,$13.760,,NT5BLOCKS -MKA10 LIGHT GREEN,12,Weeks,23/10/2018,1
DELKO-300K,NT5 300x280mm Black Cloth  43pcs Blocks,CMAUSD,CMA Global,28/05/2018,$13.760,$8.084,$27.971,$13.760,,NT5 BLOCKS-MKA10-MATT BLACK,12,Weeks,28/05/2018,1
DELKO-300K,NT5 300x280mm Black Cloth  43pcs Blocks,DELK1,CMA Global,18/06/2018,$19.824,$2.447,$22.271,$0.000,,NT5 BLOCKS,,Weeks,18/06/2018,0
DELKO-300LG,NT5 300x280mm Grey 43pcs Blocks,CMAUSD,CMA Global,30/07/2018,$13.760,$10.449,$30.696,$13.760,,NT5 BLOCKS -MKA10-DARK GREY,12,Weeks,30/07/2018,1
DELKO-300M,NT5 300x280mm Mauve 43pcs Blocks,CMAUSD,CMA Global,5/07/2017,$19.399,$0.516,$27.865,$13.760,,NT5BLOCKS -MKA10 MATT PURPLE,12,Weeks,5/07/2017,1
DELKO-300N,NT5 300x280mm Diamond Royal Blue 43pcs Blocks,CMAUSD,CMA Global,23/10/2018,$13.760,$9.280,$30.278,$13.760,,NT5 BLOCKS -MAK10 NAVY BLUE,12,Weeks,23/10/2018,1
DELKO-300T,NT5 300x280mm Teal 43pcs Blocks,CMAUSD,CMA Global,23/10/2018,$13.760,$9.280,$30.278,$13.760,,NT5 BLOCKS,12,Weeks,23/10/2018,1
DELKO-300T,NT5 300x280mm Teal 43pcs Blocks,DELK1,CMA Global,18/06/2018,$19.824,$2.447,$22.271,$0.000,,NT5 BLOCKS,,Weeks,18/06/2018,0
DELKO-BAG 210X100,Cellophane bag for 210X100 cloths,CMAUSD,CMA Global,6/12/2017,$0.044,$0.000,$0.064,$0.025,,,12,Weeks,6/12/2017,1
DELKO-BAG190X160,Cellophane bag for 190X160 cloths,CMAUSD,CMA Global,18/01/2018,$0.034,$0.042,$0.088,$0.030,,,12,Weeks,18/01/2018,1
